DATAFLOW,LAST UPDATE,freq,org_inst,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2006,25.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2007,26.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2008,31.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2009,18.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2010,22.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2011,23.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2012,31.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2013,31.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2014,22.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2015,27.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2016,22.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2017,22.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2018,22.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2019,30.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2020,50.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2021,50.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2022,55.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2023,55.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Belgium,2024,55.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2003,26.5,d,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2004,27.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2005,30.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2006,29.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2007,30.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2008,29.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2009,31.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2010,33.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2011,35.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2012,38.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2013,33.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2014,30.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2015,27.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2016,36.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2017,37.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2018,39.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2019,39.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2020,40.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2021,36.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2022,40.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2023,36.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Bulgaria,2024,38.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2003,9.1,d,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2004,0.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2005,0.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2006,0.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2007,16.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2008,12.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2009,8.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2010,16.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2011,25.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2012,33.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2013,8.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2014,8.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2015,8.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2016,8.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2017,8.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2018,16.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2019,16.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2020,25.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2021,25.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2022,16.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2023,25.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Cyprus,2024,16.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2004,11.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2005,9.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2006,11.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2007,16.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2008,11.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2009,17.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2010,0.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2011,6.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2012,12.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2013,6.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2014,17.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2015,17.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2016,17.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2017,11.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2018,26.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2019,26.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2020,28.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2021,28.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2022,11.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2023,11.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Czechia,2024,5.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2003,45.7,d,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2004,46.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2005,26.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2006,38.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2007,30.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2008,32.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2009,32.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2010,28.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2011,28.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2012,28.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2013,27.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2014,42.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2015,40.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2016,40.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2017,42.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2018,39.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2019,40.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2020,41.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2021,40.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2022,50.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2023,48.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Germany,2024,49.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2003,27.8,d,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2004,29.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2005,27.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2006,27.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2007,36.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2008,36.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2009,42.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2010,47.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2011,39.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2012,43.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2013,45.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2014,30.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2015,29.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2016,29.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2017,40.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2018,40.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2019,31.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2020,35.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2021,30.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2022,30.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2023,36.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Denmark,2024,36.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2003,9.1,d,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2004,8.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2005,16.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2006,15.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2007,21.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2008,21.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2009,7.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2010,7.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2011,7.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2012,7.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2013,7.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2014,42.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2015,13.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2016,13.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2017,26.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2018,26.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2019,13.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2020,13.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2021,46.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2022,46.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2023,38.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Estonia,2024,50.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2003,6.4,d,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2004,4.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2005,4.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2006,7.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2007,4.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2008,7.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2009,25.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2010,20.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2011,9.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2012,4.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2013,8.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2014,8.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2015,15.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2016,17.4,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2017,16.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2018,25.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2019,9.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2020,11.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2021,15.5,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2022,15.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2023,24.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Greece,2024,24.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2003,25.0,d,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2004,43.8,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2005,50.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2006,50.0,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2007,35.1,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2008,43.9,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2009,38.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2010,35.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2011,32.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2012,26.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2013,26.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2014,34.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2015,26.3,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2016,25.7,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2017,31.6,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2018,51.2,,
ESTAT:SDG_05_50(1.0),11/04/25 11:00:00,Annual,National government,Females,Percentage of women,Spain,2019,50.0,,
